
2024/12/12 (17:23:40) | ===> btop++ v.1.4.0
2024/12/12 (17:23:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (17:58:30) | ===> btop++ v.1.4.0
2024/12/12 (17:58:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:08:46) | ===> btop++ v.1.4.0
2024/12/12 (18:08:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:19:39) | ===> btop++ v.1.4.0
2024/12/12 (18:19:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:29:46) | ===> btop++ v.1.4.0
2024/12/12 (18:29:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:43:10) | ===> btop++ v.1.4.0
2024/12/12 (18:43:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (18:46:24) | ===> btop++ v.1.4.0
2024/12/12 (18:46:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:44:48) | ===> btop++ v.1.4.0
2024/12/12 (21:44:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (13:51:15) | ===> btop++ v.1.4.0
2024/12/13 (13:51:15) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/13 (13:51:20) | ===> btop++ v.1.4.0
2024/12/13 (13:51:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (13:51:30) | ===> btop++ v.1.4.0
2024/12/13 (13:51:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (14:25:36) | ===> btop++ v.1.4.0
2024/12/13 (14:25:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (15:04:16) | ===> btop++ v.1.4.0
2024/12/13 (15:04:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (19:02:12) | ===> btop++ v.1.4.0
2024/12/13 (19:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (11:32:57) | ===> btop++ v.1.4.0
2024/12/14 (11:32:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (12:46:25) | ===> btop++ v.1.4.0
2024/12/14 (12:46:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (22:21:58) | ===> btop++ v.1.4.0
2024/12/14 (22:21:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (12:05:53) | ===> btop++ v.1.4.0
2024/12/15 (12:05:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (12:51:26) | ===> btop++ v.1.4.0
2024/12/15 (12:51:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (13:47:15) | ===> btop++ v.1.4.0
2024/12/15 (13:47:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (17:34:55) | ===> btop++ v.1.4.0
2024/12/15 (17:34:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (17:35:27) | ===> btop++ v.1.4.0
2024/12/15 (17:35:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (15:43:32) | ===> btop++ v.1.4.0
2024/12/18 (15:43:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (12:43:31) | ===> btop++ v.1.4.0
2024/12/20 (12:43:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (18:57:11) | ===> btop++ v.1.4.0
2024/12/23 (18:57:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (18:59:01) | ===> btop++ v.1.4.0
2024/12/23 (18:59:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/24 (17:03:16) | ===> btop++ v.1.4.0
2024/12/24 (17:03:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (18:24:49) | ===> btop++ v.1.4.0
2024/12/25 (18:24:49) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/25 (18:24:56) | ===> btop++ v.1.4.0
2024/12/25 (18:24:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:24:22) | ===> btop++ v.1.4.0
2024/12/25 (21:24:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (10:13:02) | ===> btop++ v.1.4.0
2024/12/26 (10:13:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (11:04:21) | ===> btop++ v.1.4.0
2024/12/26 (11:04:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (11:45:37) | ===> btop++ v.1.4.0
2024/12/26 (11:45:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (12:08:34) | ===> btop++ v.1.4.0
2024/12/26 (12:08:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:22:38) | ===> btop++ v.1.4.0
2024/12/26 (13:22:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (13:59:36) | ===> btop++ v.1.4.0
2024/12/26 (13:59:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (14:24:29) | ===> btop++ v.1.4.0
2024/12/26 (14:24:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (14:36:53) | ===> btop++ v.1.4.0
2024/12/26 (14:36:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (17:18:39) | ===> btop++ v.1.4.0
2024/12/26 (17:18:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/26 (19:02:32) | ===> btop++ v.1.4.0
2024/12/26 (19:02:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (11:25:51) | ===> btop++ v.1.4.0
2024/12/27 (11:25:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/27 (11:25:58) | ===> btop++ v.1.4.0
2024/12/27 (11:25:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (11:27:23) | ===> btop++ v.1.4.0
2024/12/27 (11:27:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (14:14:10) | ===> btop++ v.1.4.0
2024/12/27 (14:14:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/27 (19:55:23) | ===> btop++ v.1.4.0
2024/12/27 (19:55:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (13:41:32) | ===> btop++ v.1.4.0
2024/12/28 (13:41:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (15:36:41) | ===> btop++ v.1.4.0
2024/12/28 (15:36:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (17:56:37) | ===> btop++ v.1.4.0
2024/12/28 (17:56:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (17:59:59) | ===> btop++ v.1.4.0
2024/12/28 (17:59:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:21:00) | ===> btop++ v.1.4.0
2024/12/28 (21:21:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (17:48:33) | ===> btop++ v.1.4.0
2024/12/29 (17:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (18:17:32) | ===> btop++ v.1.4.0
2024/12/29 (18:17:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (18:20:58) | ===> btop++ v.1.4.0
2024/12/29 (18:20:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (18:49:07) | ===> btop++ v.1.4.0
2024/12/29 (18:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (11:57:05) | ===> btop++ v.1.4.0
2024/12/30 (11:57:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (19:09:29) | ===> btop++ v.1.4.0
2024/12/30 (19:09:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (10:00:50) | ===> btop++ v.1.4.0
2024/12/31 (10:00:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (13:40:15) | ===> btop++ v.1.4.0
2024/12/31 (13:40:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (14:24:22) | ===> btop++ v.1.4.0
2024/12/31 (14:24:22) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/31 (14:24:27) | ===> btop++ v.1.4.0
2024/12/31 (14:24:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (15:16:44) | ===> btop++ v.1.4.0
2024/12/31 (15:16:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (19:16:57) | ===> btop++ v.1.4.0
2024/12/31 (19:16:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (14:29:29) | ===> btop++ v.1.4.0
2025/01/01 (14:29:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (20:30:25) | ===> btop++ v.1.4.0
2025/01/01 (20:30:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (21:17:38) | ===> btop++ v.1.4.0
2025/01/01 (21:17:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (22:43:02) | ===> btop++ v.1.4.0
2025/01/01 (22:43:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (14:31:30) | ===> btop++ v.1.4.0
2025/01/02 (14:31:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (19:10:05) | ===> btop++ v.1.4.0
2025/01/02 (19:10:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (21:39:47) | ===> btop++ v.1.4.0
2025/01/03 (21:39:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (16:21:54) | ===> btop++ v.1.4.0
2025/01/09 (16:21:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (19:16:57) | ===> btop++ v.1.4.0
2025/01/09 (19:16:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (20:52:02) | ===> btop++ v.1.4.0
2025/01/14 (20:52:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (16:39:59) | ===> btop++ v.1.4.0
2025/02/02 (16:39:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (16:42:31) | ===> btop++ v.1.4.0
2025/02/02 (16:42:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (13:43:47) | ===> btop++ v.1.4.0
2025/02/03 (13:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (21:06:00) | ===> btop++ v.1.4.0
2025/02/06 (21:06:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (12:32:24) | ===> btop++ v.1.4.0
2025/02/07 (12:32:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (17:28:42) | ===> btop++ v.1.4.0
2025/02/07 (17:28:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (18:51:05) | ===> btop++ v.1.4.0
2025/02/07 (18:51:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (19:51:27) | ===> btop++ v.1.4.0
2025/02/07 (19:51:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (20:06:51) | ===> btop++ v.1.4.0
2025/02/07 (20:06:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:50:02) | ===> btop++ v.1.4.0
2025/02/07 (21:50:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (16:20:22) | ===> btop++ v.1.4.0
2025/02/08 (16:20:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:42:37) | ===> btop++ v.1.4.0
2025/02/08 (17:42:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:44:15) | ===> btop++ v.1.4.0
2025/02/08 (17:44:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (19:16:52) | ===> btop++ v.1.4.0
2025/02/08 (19:16:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:54:00) | ===> btop++ v.1.4.0
2025/02/09 (11:54:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (11:56:14) | ===> btop++ v.1.4.0
2025/02/09 (11:56:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (12:22:10) | ===> btop++ v.1.4.0
2025/02/09 (12:22:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (21:29:11) | ===> btop++ v.1.4.0
2025/02/09 (21:29:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (19:14:17) | ===> btop++ v.1.4.0
2025/02/10 (19:14:17) | WARNING: Intel GPU: Failed to initialize PMU

